#==============================================================================#
#                         Newcs Channel Info                                   #
#                         Updated 02.03.2011                                   #
#==============================================================================#

#---------------------------------- SKYLINK -----------------------------------#
                1702:000000:0206 "Sky Germany - Goldstar TV"
                1702:000000:07FF "Sky Germany - Animax"
                1702:000000:2EFE "Sky Germany - RTL Living"
                1702:000000:3335 "Sky Germany - ESPN America"
                1702:000000:4461 "Sky Germany - Sat 1 Comedy"
                1702:000000:4462 "Sky Germany - Kabel Eins Classics"
                1702:000000:6FF1 "Sky Germany - VH-1 Classic"
                1702:000000:7001 "Sky Germany - MTV Germany"
                1702:000000:700A "Sky Germany - Nicktoons"
                    
